chr1	0	4	4
chr1	7	10	3
chr1	155151	155157	6
chr1	179949	179979	30
chr1	183455	183456	1
chr1	223002	223034	32
chr1	232220	232237	17
chr1	244894	244941	47
chr1	304264	304265	1
chr1	366943	366944	1
chr1	376496	376559	63
chr1	385456	385457	1
chr1	387999	388000	1
chr1	389901	389902	1
chr1	390510	390512	2
chr1	395358	395359	1
chr1	396535	396536	1
chr1	401650	401651	1
chr1	406518	406519	1
chr1	412621	412628	7
chr1	412711	412725	14
chr1	412837	412875	38
chr1	415067	415069	2
chr1	416373	416438	65
chr1	417341	417392	51
chr1	421388	421425	37
chr1	424810	424821	11
chr1	434703	434704	1
chr1	443346	443472	126
chr1	453927	453962	35
chr1	512142	512145	3
chr1	515043	515052	9
chr1	536692	536701	9
chr1	554821	554879	58
chr1	563650	563674	24
chr1	615571	615604	33
chr1	658119	658123	4
chr1	669207	669208	1
chr1	674795	674799	4
chr1	699345	699350	5
chr1	710651	710652	1
chr1	710663	710679	16
chr1	760805	760845	40
chr1	760981	761016	35
chr1	822172	822173	1
chr1	837527	837538	11
chr1	912251	912266	15
chr1	922986	923021	35
chr1	968527	968544	17
chr1	1012106	1012121	15
chr1	1013837	1013979	142
chr1	1036696	1036757	61
chr1	1036815	1036863	48
chr1	1040466	1041429	963
chr1	1072007	1072008	1
chr1	1072527	1072576	49
chr1	1090738	1090743	5
chr1	1093598	1093613	15
chr1	1095201	1095202	1
chr1	1096534	1096535	1
chr1	1097076	1097077	1
chr1	1097089	1097090	1
chr1	1097094	1097096	2
chr1	1097107	1097108	1
chr1	1099101	1099102	1
chr1	1102243	1102244	1
chr1	1102723	1102742	19
chr1	1103995	1103996	1
chr1	1106061	1106062	1
chr1	1106881	1106884	3
chr1	1108132	1108134	2
chr1	1120639	1120640	1
chr1	1121021	1121022	1
chr1	1123540	1123541	1
chr1	1125752	1125753	1
chr1	1126224	1126225	1
chr1	1129807	1129808	1
chr1	1133865	1133866	1
chr1	1133876	1133877	1
chr1	1141395	1141396	1
chr1	1145770	1145771	1
chr1	1148993	1148994	1
chr1	1156978	1156999	21
chr1	1157042	1157043	1
chr1	1157271	1157272	1
chr1	1168917	1168918	1
chr1	1168971	1168972	1
chr1	1169581	1169590	9
chr1	1170000	1170001	1
chr1	1173538	1173539	1
chr1	1182105	1182106	1
chr1	1183483	1183484	1
chr1	1183493	1183494	1
chr1	1183538	1183539	1
chr1	1183862	1183863	1
chr1	1184561	1184623	62
chr1	1184844	1184845	1
chr1	1187638	1187639	1
chr1	1192567	1192568	1
chr1	1193198	1193208	10
chr1	1195804	1195807	3
chr1	1196307	1196308	1
chr1	1200440	1200441	1
chr1	1200941	1200942	1
chr1	1206407	1206408	1
chr1	1206419	1206420	1
chr1	1208556	1208557	1
chr1	1211304	1211305	1
chr1	1212768	1212769	1
chr1	1213119	1213120	1
chr1	1221643	1221645	2
chr1	1262363	1262365	2
chr1	1267544	1267562	18
chr1	1270033	1270047	14
chr1	1274198	1274199	1
chr1	1282739	1282967	228
chr1	1292724	1292793	69
chr1	1294134	1294218	84
chr1	1307278	1307279	1
chr1	1346698	1346710	12
chr1	1363068	1363130	62
chr1	1364789	1364824	35
chr1	1367819	1375464	7645
chr1	1379736	1379805	69
chr1	1386699	1386700	1
chr1	1466883	1466884	1
